,Unnamed: 0,Unnamed: 0.1,year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews,url,daystocom,isbn,times_appred_NYTime,avgrank_NYTime,bestRank,listnames
957,957,957,2015,An Ember in the Ashes,['Sabaa Tahir'],Young Adult Fantasy,0,0.017301038062283742,0.03806228373702422,0.10726643598615918,0.3044982698961938,0.5328719723183389,4.29757785467128,4.28,266091.0,36115.0,https://www.goodreads.com/book/show/20560137-an-ember-in-the-ashes?from_choice=true,217.0,1595148035,0.0,inf,inf,0.0
958,958,958,2015,Queen of Shadows,['Sarah J. Maas'],Young Adult Fantasy,1,0.013422818791946308,0.02348993288590604,0.05704697986577181,0.1644295302013423,0.7416107382550335,4.597315436241611,4.4,2692049.0,275178.0,https://www.goodreads.com/book/show/18006496-queen-of-shadows?from_choice=true,91.0,1619636042,17.0,0.19673920088133684,1.0,1.0
959,959,959,2015,Carry On,"['Rainbow Rowell', 'Jim Tierney', 'Olga Grlic']",Young Adult Fantasy,0,0.013651877133105802,0.027303754266211604,0.16382252559726962,0.3515358361774744,0.44368600682593856,4.184300341296928,4.03,1856743.0,193194.0,https://www.goodreads.com/book/show/23734628-carry-on?from_choice=true,56.0,1250049555,6.0,0.6611111111111111,2.0,2.0
960,960,960,2015,Winter,['Marissa Meyer'],Young Adult Fantasy,0,0.006779661016949152,0.006779661016949152,0.06779661016949153,0.2711864406779661,0.6474576271186441,4.545762711864406,4.23,1671666.0,184711.0,https://www.goodreads.com/book/show/13206900-winter?from_choice=true,21.0,0312642989,0.0,inf,inf,0.0
961,961,961,2015,The Heir,['Kiera Cass'],Young Adult Fantasy,0,0.02797202797202797,0.05244755244755245,0.2657342657342657,0.3566433566433567,0.2972027972027972,3.842657342657344,4.05,2022131.0,146033.0,https://www.goodreads.com/book/show/23019291-the-heir?from_choice=true,210.0,0062349856,7.0,1.440873015873016,3.0,1.0
962,962,962,2015,Uprooted,['Naomi Novik'],Young Adult Fantasy,0,0.013605442176870748,0.030612244897959183,0.08503401360544217,0.272108843537415,0.5986394557823129,4.41156462585034,4.04,460428.0,48395.0,https://www.goodreads.com/book/show/22544764-uprooted?from_choice=true,196.0,0804179034,0.0,inf,inf,0.0
963,963,963,2015,Six of Crows,['Leigh Bardugo'],Young Adult Fantasy,0,0.0,0.0035714285714285718,0.04642857142857143,0.2571428571428571,0.6928571428571428,4.639285714285714,4.22,1044221.0,143448.0,https://www.goodreads.com/book/show/23437156-six-of-crows?from_choice=true,63.0,1627792120,0.0,inf,inf,0.0
964,964,964,2015,A Court of Thorns and Roses,['Sarah J. Maas'],Young Adult Fantasy,0,0.013513513513513514,0.030405405405405407,0.12162162162162166,0.2364864864864865,0.597972972972973,4.375,4.4,2692049.0,275178.0,https://www.goodreads.com/book/show/16096824-a-court-of-thorns-and-roses?from_choice=true,210.0,1619634449,0.0,inf,inf,0.0
965,965,965,2015,The Winner's Crime,['Marie Rutkoski'],Young Adult Fantasy,0,0.0,0.013559322033898305,0.12542372881355932,0.3457627118644068,0.5152542372881356,4.36271186440678,4.08,189895.0,26617.0,https://www.goodreads.com/book/show/21469060-the-winner-s-crime?from_choice=true,273.0,0374384703,0.0,inf,inf,0.0
966,966,966,2015,The Ruby Circle,['Richelle Mead'],Young Adult Fantasy,0,0.013422818791946308,0.013422818791946308,0.12080536912751676,0.3355704697986577,0.5167785234899329,4.328859060402683,4.26,2893932.0,137154.0,https://www.goodreads.com/book/show/8709528-the-ruby-circle?from_choice=true,294.0,159514322X,14.0,0.18541848401130395,2.0,1.0
