year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating
2013,Light,['Michael  Grant'],Young Adult Fantasy,0,2,0,27,85,179,4.498293515358362
2013,Etiquette & Espionage,['Gail Carriger'],Young Adult Fantasy,0,2,6,67,141,82,3.98993288590604
2013,Crown of Midnight,['Sarah J. Maas'],Young Adult Fantasy,0,1,5,14,79,197,4.574324324324325
2013,Through the Ever Night,['Veronica Rossi'],Young Adult Fantasy,0,0,4,33,118,142,4.34006734006734
2013,Siege and Storm,['Leigh Bardugo'],Young Adult Fantasy,0,1,6,41,103,139,4.286206896551724
2013,The 5th Wave,['Rick Yancey'],Young Adult Fantasy,0,3,13,41,100,140,4.215488215488215
2013,Scarlet,['Marissa Meyer'],Young Adult Fantasy,0,0,2,22,95,174,4.505119453924915
2013,The Indigo Spell,['Richelle Mead'],Young Adult Fantasy,0,0,2,26,81,187,4.530405405405405
2013,The Fall of Five,['Pittacus Lore'],Young Adult Fantasy,0,4,9,49,113,119,4.136054421768708
2013,Opal,['Jennifer L. Armentrout'],Young Adult Fantasy,0,1,8,29,56,200,4.517006802721088
2013,Requiem,['Lauren Oliver'],Young Adult Fantasy,0,5,28,83,117,62,3.688135593220339
2013,The Dream Thieves,['Maggie Stiefvater'],Young Adult Fantasy,0,0,0,1,4,30,4.828571428571428
2013,The Elite,['Kiera Cass'],Young Adult Fantasy,0,0,4,41,50,47,3.9859154929577465
2013,MaddAddam,['Margaret Atwood'],Science Fiction,1,6,19,87,114,74,3.77
2013,Dust,['Hugh Howey'],Science Fiction,0,0,4,30,117,149,4.37
2013,CyberStorm,['Matthew Mather'],Science Fiction,0,6,24,57,144,69,3.82
2013,The Lives of Tao,['Wesley Chu'],Science Fiction,0,3,15,64,129,88,3.9498327759197323
2013,Earth Afire,"['Orson Scott Card', 'Aaron Johnston']",Science Fiction,0,2,7,77,135,79,3.94
2013,Terms of Enlistment,['Marko Kloos'],Science Fiction,0,3,11,53,157,75,3.9698996655518393
2013,Guardian,['Jack Campbell'],Science Fiction,0,0,11,72,135,82,3.96
2013,The Humans,['Matt Haig'],Science Fiction,0,3,12,39,119,126,4.1806020066889635
2013,The Human Division,['John Scalzi'],Science Fiction,0,0,8,54,158,80,4.033333333333333
2013,Shadow of Freedom,['David Weber'],Science Fiction,0,0,15,74,125,84,3.9328859060402683
2013,The Long War,"['Terry Pratchett', 'Stephen Baxter']",Science Fiction,0,6,39,108,102,42,3.4545454545454546
2013,Countdown City,['Ben H. Winters'],Science Fiction,0,0,7,52,170,71,4.016666666666667
2013,Perdition,['Ann Aguirre'],Science Fiction,0,6,11,57,125,94,3.9897610921501707
2013,Brilliance,['Marcus Sakey'],Science Fiction,0,4,14,59,147,75,3.919732441471572
2013,Abaddon's Gate,['James S.A. Corey'],Science Fiction,0,1,7,42,144,104,4.151006711409396
2013,Great North Road,"['Peter F. Hamilton', 'Nenad Savic', 'Toby Longworth']",Science Fiction,0,2,12,61,131,92,4.003355704697986
2013,The Darwin Elevator,['Jason M. Hough'],Science Fiction,0,6,22,71,122,76,3.808080808080808
2013,Ancillary Justice,['Ann Leckie'],Science Fiction,0,6,18,39,125,108,4.050675675675675
2013,The Best of All Possible Worlds,['Karen Lord'],Science Fiction,0,11,22,80,115,60,3.6631944444444446
2013,Lexicon,['Max Barry'],Science Fiction,0,0,14,57,135,94,4.03
2013,The Sun Trail,['Erin Hunter'],Middle Grade & Children's,0,1,6,46,74,163,4.3517241379310345
2013,Counting by 7s,['Holly Goldberg Sloan'],Middle Grade & Children's,0,0,3,27,107,156,4.419795221843003
2013,Doll Bones,"['Holly Black', 'Eliza Wheeler']",Middle Grade & Children's,0,2,14,86,135,57,3.7857142857142856
2013,Navigating Early,['Clare Vanderpool'],Middle Grade & Children's,0,2,7,55,125,109,4.114093959731544
2013,The Girl Who Soared Over Fairyland and Cut the Moon in Two,"['Catherynne M. Valente', 'Ana Juan']",Middle Grade & Children's,0,0,4,62,106,125,4.185185185185185
2013,Trust No One,['Linda Sue Park'],Middle Grade & Children's,0,2,4,53,115,125,4.193979933110368
2013,Loki's Wolves,"['K.L. Armstrong', 'M.A. Marr', 'Vivienne To']",Middle Grade & Children's,0,12,23,79,95,80,3.7197231833910034
2013,The Royal Ranger,['John Flanagan'],Middle Grade & Children's,0,2,5,35,101,151,4.340136054421769
2013,Prisoner B-3087,['Alan Gratz'],Middle Grade & Children's,0,2,5,52,127,108,4.136054421768708
2013,Tales from a Not-So-Happy Heartbreaker,['Rachel Renée Russell'],Middle Grade & Children's,0,5,8,21,42,219,4.566101694915254
2013,The Runaway King,['Jennifer A. Nielsen'],Middle Grade & Children's,0,1,9,42,121,122,4.2
2013,"Fortunately, the Milk","['Neil Gaiman', 'Skottie Young']",Middle Grade & Children's,0,0,3,46,120,127,4.253378378378378
2013,The Screaming Staircase,['Jonathan Stroud'],Middle Grade & Children's,0,0,4,26,128,140,4.355704697986577
2013,The House of Hades,['Rick Riordan'],Middle Grade & Children's,1,2,4,30,84,177,4.447811447811448
2013,Escape from Mr. Lemoncello's Library,['Chris Grabenstein'],Middle Grade & Children's,0,4,7,65,127,124,4.10091743119266
2013,The Enchantress Returns,"['Chris Colfer', 'Brandon Dorman']",Middle Grade & Children's,0,2,7,33,91,163,4.371621621621622
2013,Fyre,['Angie Sage'],Middle Grade & Children's,0,2,11,49,105,132,4.183946488294314
2013,Rump: The True Story of Rumpelstiltskin,['Liesl Shurtliff'],Middle Grade & Children's,0,1,12,62,115,104,4.051020408163265
2013,Chasing the Prophecy,['Brandon Mull'],Middle Grade & Children's,0,1,4,34,130,137,4.300653594771242
2013,The School for Good and Evil,"['Soman Chainani', 'Iacopo Bruno']",Middle Grade & Children's,0,9,35,42,119,124,3.954407294832827
2013,Eighty Days: Nellie Bly and Elizabeth Bisland's History-Making Race Around the World,['Matthew Goodman'],History & Biography,0,6,26,77,132,55,3.689189189189189
2013,Jim Henson: The Biography,['Brian Jay Jones'],History & Biography,1,1,11,53,116,115,4.125
2013,The Girls of Atomic City: The Untold Story of the Women Who Helped Win World War II,['Denise Kiernan'],History & Biography,0,3,23,94,122,50,3.660958904109589
2013,A Higher Call: An Incredible True Story of Combat and Chivalry in the War-Torn Skies of World War II,"['Adam Makos', 'Larry Alexander']",History & Biography,0,0,3,26,90,178,4.491582491582491
2013,"The Guns at Last Light: The War in Western Europe, 1944-1945",['Rick Atkinson'],History & Biography,0,0,1,12,95,192,4.593333333333334
