year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews
2013,The Girls of Atomic City: The Untold Story of the Women Who Helped Win World War II,['Denise Kiernan'],History & Biography,0,3,23,94,122,50,3.660958904109589,3.69,29074,4164
2013,A Higher Call: An Incredible True Story of Combat and Chivalry in the War-Torn Skies of World War II,"['Adam Makos', 'Larry Alexander']",History & Biography,0,0,3,26,90,178,4.491582491582491,4.32,20173,1938
2013,"The Guns at Last Light: The War in Western Europe, 1944-1945",['Rick Atkinson'],History & Biography,0,0,1,12,95,192,4.593333333333334,4.31,39624,2801
2013,The Unwinding: An Inner History of the New America,['George Packer'],History & Biography,0,4,12,49,105,126,4.138513513513513,4.12,15958,1920
2013,The Skies Belong to Us: Love and Terror in the Golden Age of Hijacking,['Brendan I. Koerner'],History & Biography,0,0,5,56,143,96,4.1,4.0,3555,546
2013,Salinger,"['David Shields', 'Shane Salerno']",History & Biography,0,10,38,92,112,45,3.484848484848485,3.51,8029,1451
2013,Killing Jesus: A History,"[""Bill O'Reilly"", 'Martin Dugard']",History & Biography,0,4,19,80,117,78,3.825503355704698,4.03,255849,23134
2013,Empty Mansions: The Mysterious Life of Huguette Clark and the Spending of a Great American Fortune,"['Bill Dedman', 'Paul Clark Newell Jr.']",History & Biography,0,1,15,71,141,71,3.8896321070234112,3.77,31415,3544
2013,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,['Daniel James Brown'],History & Biography,0,4,0,23,99,172,4.459731543624161,4.34,208753,22517
2013,The Riddle of the Labyrinth: The Quest to Crack an Ancient Code,['Margalit Fox'],History & Biography,0,3,18,64,133,80,3.902684563758389,3.88,4227,861
2013,Manson: The Life and Times of Charles Manson,['Jeff Guinn'],History & Biography,0,4,10,54,149,80,3.9797979797979797,3.98,26854,3956
2013,Dirty Wars: The World is a Battlefield,['Jeremy Scahill'],History & Biography,0,2,8,36,106,147,4.297658862876254,3.94,10841,1135
2013,The Astronaut Wives Club,['Lily Koppel'],History & Biography,0,14,43,118,84,39,3.3053691275167787,3.3,26008,4291
2013,"American Savage: Insights, Slights, and Fights on Faith, Sex, Love, and Politics",['Dan Savage'],Nonfiction,0,1,2,76,131,88,4.016778523489933,3.97,31783,2972
2013,Detroit: An American Autopsy,['Charlie LeDuff'],Nonfiction,0,2,10,65,139,81,3.9663299663299663,3.94,14296,2037
2013,"Lean In: Women, Work, and the Will to Lead","['Sheryl Sandberg', 'Nell Scovell']",Nonfiction,0,0,11,46,121,95,4.0989010989010985,3.94,243757,16092
2013,Contagious: Why Things Catch On,['Jonah Berger'],Nonfiction,0,3,25,119,115,66,3.658536585365854,3.91,20528,1821
2013,To Sell Is Human: The Surprising Truth About Moving Others,['Daniel H. Pink'],Nonfiction,0,0,1,17,16,16,3.94,3.92,144586,9055
2013,The Examined Life: How We Lose and Find Ourselves,['Stephen Grosz'],Nonfiction,0,2,14,60,124,99,4.016722408026756,3.91,10889,1075
2013,The World Until Yesterday: What Can We Learn from Traditional Societies?,['Jared Diamond'],Nonfiction,0,5,36,106,99,48,3.506802721088435,4.0,351241,15526
2013,Lost Girls: An Unsolved American Mystery,['Robert Kolker'],Nonfiction,0,4,25,112,115,43,3.5618729096989967,3.56,12968,1388
2013,I Wear the Black Hat: Grappling With Villains (Real and Imagined),['Chuck Klosterman'],Nonfiction,0,5,26,92,135,41,3.6053511705685617,3.75,192822,12789
2013,Gulp: Adventures on the Alimentary Canal,['Mary Roach'],Nonfiction,0,1,5,51,137,105,4.137123745819398,3.95,342518,31451
2013,The Autistic Brain: Thinking Across the Spectrum,"['Temple Grandin', 'Richard Panek']",Nonfiction,1,2,5,64,133,90,4.034013605442177,4.08,44217,4821
2013,"The Good Nurse: A True Story of Medicine, Madness, and Murder",['Charles Graeber'],Nonfiction,0,3,21,72,133,67,3.810810810810811,3.81,13739,1688
2013,"Going Clear: Scientology, Hollywood, and the Prison of Belief",['Lawrence Wright'],Nonfiction,0,0,8,41,157,91,4.114478114478114,4.15,65212,7568
2013,Decisive: How to Make Better Choices in Life and Work,"['Chip Heath', 'Dan Heath']",Nonfiction,0,1,6,52,147,92,4.083892617449664,3.99,125337,6992
2013,Bad Pharma: How Drug Companies Mislead Doctors and Harm Patients,['Ben Goldacre'],Nonfiction,0,0,9,41,122,125,4.222222222222222,4.07,42670,2502
2013,The Golem and the Jinni,['Helene Wecker'],Fantasy,0,1,3,39,116,137,4.300675675675675,4.11,90551,12102
2013,Promise of Blood,['Brian  McClellan'],Fantasy,0,1,8,38,120,133,4.253333333333333,4.26,118788,7365
