,Unnamed: 0,Unnamed: 0.1,year,name,writer,category,winner,num 1 stars,num 2 stars,num 3 stars,num 4 stars,num 5 stars,average rating,average_rating_w,num_ratings,num_reviews,url,daysToContest,isbn,times_appred_NYTime,avgrank_NYTime,bestRank,listnames
59,59,59,2013,The Day the Crayons Quit,"['Drew Daywalt', 'Oliver Jeffers']",Picture Books,1,1,2,25,68,202,4.570469798657718,4.28,123016.0,14924.0,https://www.goodreads.com/book/show/16101018-the-day-the-crayons-quit?from_choice=true,160.0,English,0.0,inf,inf,0.0
60,60,60,2013,Collide,['Gail McHugh'],Romance,0,1,7,32,79,179,4.4362416107382545,4.23,109682.0,8619.0,https://www.goodreads.com/book/show/17158596-collide?from_choice=true,320.0,B00B385VCU,0.0,inf,inf,0.0
61,61,61,2013,Real,['Katy Evans'],Romance,0,4,8,26,88,174,4.4,4.16,334387.0,29999.0,https://www.goodreads.com/book/show/17617277-real?from_choice=true,240.0,1301347949,0.0,inf,inf,0.0
62,62,62,2013,Tangled,['Emma Chase'],Romance,0,0,3,16,73,206,4.617449664429532,4.11,345955.0,35110.0,https://www.goodreads.com/book/show/18297707-tangled?from_choice=true,124.0,B00DJWV11I,0.0,inf,inf,0.0
63,63,63,2013,Reckless,['S.C. Stephens'],Romance,0,2,6,28,70,186,4.479452054794519,4.23,378805.0,25396.0,https://www.goodreads.com/book/show/13600318-reckless?from_choice=true,274.0,B0092PUTZK,0.0,inf,inf,0.0
64,64,64,2013,The Longest Ride,['Nicholas Sparks'],Romance,0,1,8,30,113,144,4.3209459459459465,4.07,5145876.0,155439.0,https://www.goodreads.com/book/show/17407748-the-longest-ride?from_choice=true,78.0,1455520659,0.0,inf,inf,0.0
65,65,65,2013,Play with Me,['Kristen Proby'],Romance,0,0,2,14,83,201,4.61,4.17,427170.0,28030.0,https://www.goodreads.com/book/show/17201095-play-with-me?from_choice=true,281.0,2940016319506,0.0,inf,inf,0.0
66,66,66,2013,Fallen Too Far,['Abbi Glines'],Romance,0,2,6,31,92,166,4.393939393939394,4.13,1328106.0,80822.0,https://www.goodreads.com/book/show/16070903-fallen-too-far?from_choice=true,355.0,English,0.0,inf,inf,0.0
67,67,67,2013,This Girl,['Colleen Hoover'],Romance,0,0,7,27,66,196,4.523648648648648,4.25,1853467.0,202832.0,https://www.goodreads.com/book/show/15784909-this-girl?from_choice=true,218.0,B00BOVFLD0,0.0,inf,inf,0.0
68,68,68,2013,Wait for You,"['J. Lynn', 'Jennifer L. Armentrout']",Romance,0,0,6,35,88,169,4.409395973154362,4.21,1660583.0,146403.0,https://www.goodreads.com/book/show/17314430-wait-for-you?from_choice=true,246.0,2940016231921,0.0,inf,inf,0.0
